Link_Metrics

Link ID,Link Throughput Plot,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 , ,Data,Control,Data,Control,Data,Control, , , 
All,NA,13339770,782,0,0,0,0,20116412916,19476064200,640348716
1,NA,0,146,0,0,0,0,24776,0,24776
2,NA,0,120,0,0,0,0,19680,0,19680
3,NA,0,206,0,0,0,0,39972,0,39972
4,NA,3082200,0,0,0,0,0,4666450800,4500012000,166438800
5,NA,3082200,0,0,0,0,0,4586313600,4500012000,86301600
6,NA,3082200,0,0,0,0,0,4666450800,4500012000,166438800
7,NA,0,17,0,0,0,0,3294,0,3294
8,NA,274978,0,0,0,0,0,416316692,401467880,14848812
9,NA,0,8,0,0,0,0,1072,0,1072
10,NA,0,6,0,0,0,0,1140,0,1140
11,NA,123664,0,0,0,0,0,187227296,180549440,6677856
12,NA,0,0,0,0,0,0,0,0,0
13,NA,0,0,0,0,0,0,0,0,0
14,NA,21510,0,0,0,0,0,32566140,31404600,1161540
15,NA,0,0,0,0,0,0,0,0,0
16,NA,0,11,0,0,0,0,2154,0,2154
17,NA,223849,0,0,0,0,0,338907386,326819540,12087846
18,NA,0,4,0,0,0,0,536,0,536
19,NA,0,5,0,0,0,0,1014,0,1014
20,NA,94986,0,0,0,0,0,143808804,138679560,5129244
21,NA,0,8,0,0,0,0,1072,0,1072
22,NA,0,5,0,0,0,0,1014,0,1014
23,NA,74027,0,0,0,0,0,112076878,108079420,3997458
24,NA,0,8,0,0,0,0,1072,0,1072
25,NA,0,6,0,0,0,0,1140,0,1140
26,NA,86681,0,0,0,0,0,131235034,126554260,4680774
27,NA,0,4,0,0,0,0,536,0,536
28,NA,0,3,0,0,0,0,570,0,570
29,NA,72313,0,0,0,0,0,109481882,105576980,3904902
30,NA,0,0,0,0,0,0,0,0,0
31,NA,0,9,0,0,0,0,1710,0,1710
