Link_Metrics

Link ID,Link Throughput Plot,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 , ,Data,Control,Data,Control,Data,Control, , , 
All,NA,13339770,2728,0,0,0,0,20116739844,19476064200,640675644
1,NA,0,424,0,0,0,0,79264,0,79264
2,NA,0,120,0,0,0,0,19680,0,19680
3,NA,0,484,0,0,0,0,101688,0,101688
4,NA,3082200,0,0,0,0,0,4666450800,4500012000,166438800
5,NA,3082200,0,0,0,0,0,4586313600,4500012000,86301600
6,NA,3082200,0,0,0,0,0,4666450800,4500012000,166438800
7,NA,0,25,0,0,0,0,5070,0,5070
8,NA,231628,0,0,0,0,0,350684792,338176880,12507912
9,NA,0,44,0,0,0,0,5896,0,5896
10,NA,0,22,0,0,0,0,4692,0,4692
11,NA,137230,0,0,0,0,0,207766220,200355800,7410420
12,NA,0,64,0,0,0,0,8576,0,8576
13,NA,0,0,0,0,0,0,0,0,0
14,NA,21510,0,0,0,0,0,32566140,31404600,1161540
15,NA,0,0,0,0,0,0,0,0,0
16,NA,0,23,0,0,0,0,4818,0,4818
17,NA,119266,0,0,0,0,0,180568724,174128360,6440364
18,NA,0,60,0,0,0,0,8040,0,8040
19,NA,0,7,0,0,0,0,1458,0,1458
20,NA,27593,0,0,0,0,0,41775802,40285780,1490022
21,NA,0,20,0,0,0,0,2680,0,2680
22,NA,0,15,0,0,0,0,3234,0,3234
23,NA,100332,0,0,0,0,0,151902648,146484720,5417928
24,NA,0,48,0,0,0,0,6432,0,6432
25,NA,0,10,0,0,0,0,2028,0,2028
26,NA,25658,0,0,0,0,0,38846212,37460680,1385532
27,NA,0,24,0,0,0,0,3216,0,3216
28,NA,0,23,0,0,0,0,5010,0,5010
29,NA,47246,0,0,0,0,0,71530444,68979160,2551284
30,NA,0,80,0,0,0,0,10720,0,10720
31,NA,0,13,0,0,0,0,2598,0,2598
32,NA,176316,0,0,0,0,0,266942424,257421360,9521064
33,NA,0,16,0,0,0,0,2144,0,2144
34,NA,0,39,0,0,0,0,7986,0,7986
35,NA,440153,0,0,0,0,0,666391642,642623380,23768262
36,NA,0,68,0,0,0,0,9112,0,9112
37,NA,0,21,0,0,0,0,4374,0,4374
38,NA,139201,0,0,0,0,0,210750314,203233460,7516854
39,NA,0,48,0,0,0,0,6432,0,6432
40,NA,0,25,0,0,0,0,5262,0,5262
41,NA,126119,0,0,0,0,0,190944166,184133740,6810426
42,NA,0,68,0,0,0,0,9112,0,9112
43,NA,0,22,0,0,0,0,4692,0,4692
44,NA,90515,0,0,0,0,0,137039710,132151900,4887810
45,NA,0,64,0,0,0,0,8576,0,8576
46,NA,0,31,0,0,0,0,6786,0,6786
47,NA,80954,0,0,0,0,0,122564356,118192840,4371516
48,NA,0,112,0,0,0,0,15008,0,15008
49,NA,0,3,0,0,0,0,570,0,570
50,NA,72587,0,0,0,0,0,109896718,105977020,3919698
51,NA,0,0,0,0,0,0,0,0,0
52,NA,0,22,0,0,0,0,4692,0,4692
53,NA,316938,0,0,0,0,0,479844132,462729480,17114652
54,NA,0,48,0,0,0,0,6432,0,6432
55,NA,0,21,0,0,0,0,4566,0,4566
56,NA,279429,0,0,0,0,0,423055506,407966340,15089166
57,NA,0,56,0,0,0,0,7504,0,7504
58,NA,0,16,0,0,0,0,3360,0,3360
59,NA,185512,0,0,0,0,0,280865168,270847520,10017648
60,NA,0,36,0,0,0,0,4824,0,4824
61,NA,0,11,0,0,0,0,2154,0,2154
62,NA,125456,0,0,0,0,0,189940384,183165760,6774624
63,NA,0,12,0,0,0,0,1608,0,1608
64,NA,0,13,0,0,0,0,2790,0,2790
65,NA,79984,0,0,0,0,0,121095776,116776640,4319136
66,NA,0,40,0,0,0,0,5360,0,5360
67,NA,0,12,0,0,0,0,2664,0,2664
68,NA,32803,0,0,0,0,0,49663742,47892380,1771362
69,NA,0,48,0,0,0,0,6432,0,6432
70,NA,0,11,0,0,0,0,2346,0,2346
71,NA,63958,0,0,0,0,0,96832412,93378680,3453732
72,NA,0,32,0,0,0,0,4288,0,4288
73,NA,0,10,0,0,0,0,2220,0,2220
74,NA,58283,0,0,0,0,0,88240462,85093180,3147282
75,NA,0,40,0,0,0,0,5360,0,5360
76,NA,0,8,0,0,0,0,1584,0,1584
77,NA,74916,0,0,0,0,0,113422824,109377360,4045464
78,NA,0,12,0,0,0,0,1608,0,1608
79,NA,0,8,0,0,0,0,1584,0,1584
80,NA,124228,0,0,0,0,0,188081192,181372880,6708312
81,NA,0,8,0,0,0,0,1072,0,1072
82,NA,0,6,0,0,0,0,1140,0,1140
83,NA,23002,0,0,0,0,0,34825028,33582920,1242108
84,NA,0,8,0,0,0,0,1072,0,1072
85,NA,0,13,0,0,0,0,2598,0,2598
86,NA,169149,0,0,0,0,0,256091586,246957540,9134046
