Link_Metrics

Link ID,Link Throughput Plot,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 , ,Data,Control,Data,Control,Data,Control, , , 
All,NA,13339770,880,0,0,0,0,20116429380,19476064200,640365180
1,NA,0,160,0,0,0,0,27520,0,27520
2,NA,0,120,0,0,0,0,19680,0,19680
3,NA,0,220,0,0,0,0,43080,0,43080
4,NA,3082200,0,0,0,0,0,4666450800,4500012000,166438800
5,NA,3082200,0,0,0,0,0,4586313600,4500012000,86301600
6,NA,3082200,0,0,0,0,0,4666450800,4500012000,166438800
7,NA,0,15,0,0,0,0,2850,0,2850
8,NA,243543,0,0,0,0,0,368724102,355572780,13151322
9,NA,0,4,0,0,0,0,536,0,536
10,NA,0,8,0,0,0,0,1584,0,1584
11,NA,157979,0,0,0,0,0,239180206,230649340,8530866
12,NA,0,8,0,0,0,0,1072,0,1072
13,NA,0,0,0,0,0,0,0,0,0
14,NA,21510,0,0,0,0,0,32566140,31404600,1161540
15,NA,0,0,0,0,0,0,0,0,0
16,NA,0,9,0,0,0,0,1710,0,1710
17,NA,110228,0,0,0,0,0,166885192,160932880,5952312
18,NA,0,8,0,0,0,0,1072,0,1072
19,NA,0,3,0,0,0,0,570,0,570
20,NA,72587,0,0,0,0,0,109896718,105977020,3919698
21,NA,0,0,0,0,0,0,0,0,0
22,NA,0,9,0,0,0,0,1902,0,1902
23,NA,181689,0,0,0,0,0,275077146,265265940,9811206
24,NA,0,16,0,0,0,0,2144,0,2144
25,NA,0,8,0,0,0,0,1584,0,1584
26,NA,96340,0,0,0,0,0,145858760,140656400,5202360
27,NA,0,12,0,0,0,0,1608,0,1608
28,NA,0,3,0,0,0,0,570,0,570
29,NA,72313,0,0,0,0,0,109481882,105576980,3904902
30,NA,0,0,0,0,0,0,0,0,0
31,NA,0,11,0,0,0,0,2154,0,2154
32,NA,168510,0,0,0,0,0,255124140,246024600,9099540
33,NA,0,8,0,0,0,0,1072,0,1072
34,NA,0,25,0,0,0,0,4878,0,4878
35,NA,407271,0,0,0,0,0,616608294,594615660,21992634
